CustomerID,recency_days,purchase_frequency,historical_revenue,total_quantity,unique_products,customer_tenure_days,average_order_value,avg_quantity_per_order,orders_per_month,revenue_90d,revenue_30d,previous_90d_revenue,spending_trend,future_revenue,country
12346,133,1,77183.6,74215,1,133,77183.6,74215.0,0.18404907975460122,0.0,0.0,77183.6,-77183.6,0.0,United Kingdom
12347,54,3,1823.43,1117,63,175,607.8100000000001,372.3333333333333,0.43902439024390244,636.25,0.0,1187.18,-550.9300000000001,2486.57,Iceland
12348,56,3,1487.24,2124,22,166,495.74666666666667,708.0,0.45918367346938777,367.0,0.0,1120.24,-753.24,310.0,Finland
12350,118,1,334.40000000000003,197,17,118,334.40000000000003,197.0,0.2027027027027027,0.0,0.0,334.40000000000003,-334.40000000000003,0.0,Norway
12352,70,5,1561.81,254,26,104,312.36199999999997,50.8,1.1194029850746268,280.66,0.0,1281.15,-1000.49,944.23,Norway
12353,12,1,89.0,20,4,12,89.0,20.0,0.7142857142857143,89.0,89.0,0.0,89.0,0.0,Bahrain
12354,40,1,1079.4,530,58,40,1079.4,530.0,0.4285714285714286,1079.4,0.0,0.0,1079.4,0.0,Spain
12355,22,1,459.40000000000003,240,13,22,459.40000000000003,240.0,0.5769230769230769,459.40000000000003,459.40000000000003,0.0,459.40000000000003,0.0,Bahrain
12356,53,2,2753.08,1586,53,133,1376.54,793.0,0.36809815950920244,481.46000000000004,0.0,2271.62,-1790.1599999999999,58.349999999999994,Portugal
12359,113,2,2386.41,609,93,139,1193.205,304.5,0.35502958579881655,0.0,0.0,2386.41,-2386.41,3986.17,Cyprus
12360,8,1,1083.58,434,45,8,1083.58,434.0,0.7894736842105263,1083.58,1083.58,0.0,1083.58,1578.48,Austria
12361,95,1,189.9,91,10,95,189.9,91.0,0.24000000000000005,0.0,0.0,189.9,-189.9,0.0,Belgium
12362,33,2,974.34,504,52,103,487.17,252.0,0.45112781954887216,495.24,0.0,479.1,16.139999999999986,4251.89,Belgium
12363,50,1,299.1,282,16,50,299.1,282.0,0.37499999999999994,299.1,0.0,0.0,299.1,252.9,Unspecified
12365,99,2,641.38,174,22,99,320.69,87.0,0.46511627906976744,0.0,0.0,641.38,-641.38,0.0,Cyprus
12370,82,3,2806.41,1973,125,168,935.4699999999999,657.6666666666666,0.4545454545454546,938.39,0.0,1868.02,-929.63,739.28,Cyprus
12372,20,2,914.9200000000001,592,32,104,457.46000000000004,296.0,0.44776119402985076,515.7,515.7,399.22,116.48000000000002,383.12,Denmark
12373,119,1,364.6,197,14,119,364.6,197.0,0.20134228187919462,0.0,0.0,364.6,-364.6,0.0,Austria
12377,123,2,1628.1200000000001,944,72,162,814.0600000000001,472.0,0.3125,0.0,0.0,1628.1200000000001,-1628.1200000000001,0.0,Switzerland
12383,46,4,1751.11,1512,82,160,437.7775,378.0,0.6315789473684211,499.23,0.0,1251.88,-752.6500000000001,99.45,Belgium
12386,145,2,401.9,354,10,174,200.95,177.0,0.29411764705882354,0.0,0.0,401.9,-401.9,0.0,Australia
12388,83,3,766.25,331,23,134,255.41666666666666,110.33333333333333,0.5487804878048781,210.9,0.0,555.35,-344.45000000000005,2014.41,Australia
12393,53,3,1061.1000000000001,522,33,140,353.70000000000005,174.0,0.5294117647058824,421.6,0.0,639.5,-217.89999999999998,521.5,Australia
12394,25,1,381.08,182,21,25,381.08,182.0,0.5454545454545454,381.08,381.08,0.0,381.08,891.4000000000001,Belgium
12395,19,6,1569.72,1491,59,179,261.62,248.5,0.8612440191387559,658.29,331.79,911.43,-253.14,1448.91,Belgium
12399,21,2,768.9499999999999,858,33,69,384.47499999999997,429.0,0.6060606060606061,768.9499999999999,480.9,0.0,768.9499999999999,339.7,Belgium
12401,111,1,84.3,11,5,111,84.3,11.0,0.2127659574468085,0.0,0.0,84.3,-84.3,0.0,Belgium
12402,131,1,225.60000000000002,94,11,131,225.60000000000002,94.0,0.1863354037267081,0.0,0.0,225.60000000000002,-225.60000000000002,0.0,Belgium
12407,43,2,495.96,419,23,72,247.98,209.5,0.5882352941176471,495.96,0.0,0.0,495.96,1212.16,Belgium
12408,68,2,837.59,356,36,68,418.795,178.0,0.6122448979591837,837.59,0.0,0.0,837.59,2050.96,Belgium
12410,116,2,693.33,211,26,116,346.665,105.5,0.410958904109589,0.0,0.0,693.33,-693.33,0.0,Switzerland
12413,44,2,563.9,205,25,145,281.95,102.5,0.34285714285714286,84.65,0.0,479.25,-394.6,194.20000000000002,France
12414,25,3,562.4100000000001,300,16,118,187.47000000000003,100.0,0.6081081081081081,408.65000000000003,165.85000000000002,153.76,254.89000000000004,0.0,Austria
12415,11,7,50883.9,31999,217,145,7269.128571428571,4571.285714285715,1.2,29768.0,12691.16,21115.9,8652.099999999999,74030.63,Australia
12417,33,4,1461.08,561,65,165,365.27,140.25,0.6153846153846154,846.3,0.0,614.78,231.51999999999998,2188.02,Belgium
12421,127,1,157.45,104,11,127,157.45,104.0,0.19108280254777069,0.0,0.0,157.45,-157.45,649.59,Spain
12422,132,1,238.5,113,13,132,238.5,113.0,0.18518518518518517,0.0,0.0,238.5,-238.5,565.0600000000001,Australia
12423,8,5,1366.77,930,78,161,273.354,186.0,0.7853403141361257,936.53,333.82,430.24,506.28999999999996,492.54,Belgium
12426,2,1,582.73,258,30,2,582.73,258.0,0.9375,582.73,582.73,0.0,582.73,0.0,Germany
12427,179,1,303.5,79,10,179,303.5,79.0,0.14354066985645933,0.0,0.0,303.5,-303.5,522.3,Germany
12428,50,6,6310.54,2773,228,91,1051.7566666666667,462.1666666666667,1.4876033057851241,1341.32,0.0,4969.22,-3627.9000000000005,1645.92,Finland
12429,35,2,1719.48,652,39,173,859.74,326.0,0.2955665024630542,437.98,0.0,1281.5,-843.52,2030.92,Austria
12431,8,7,3158.53,1274,107,181,451.21857142857147,182.0,0.9952606635071091,947.25,947.25,1853.03,-905.78,3328.92,Australia
12433,174,2,3787.12,3582,79,181,1893.56,1791.0,0.2843601895734597,0.0,0.0,1867.98,-1867.98,9588.75,Norway
12434,68,1,286.25,77,16,68,286.25,77.0,0.30612244897959184,286.25,0.0,0.0,286.25,519.89,Australia
12435,75,1,3978.9900000000002,879,19,75,3978.9900000000002,879.0,0.2857142857142857,3978.9900000000002,0.0,0.0,3978.9900000000002,3850.9000000000005,Denmark
12437,6,8,1975.09,1284,50,139,246.88625,160.5,1.4201183431952662,992.13,635.32,982.9599999999999,9.170000000000073,2976.32,France
12441,174,1,173.55,121,11,174,173.55,121.0,0.14705882352941177,0.0,0.0,173.55,-173.55,0.0,France
12447,51,1,476.49,190,26,51,476.49,190.0,0.37037037037037035,476.49,0.0,0.0,476.49,0.0,Belgium
12451,26,2,5307.82,4105,162,132,2653.91,2052.5,0.37037037037037035,2388.31,2388.31,2919.5099999999998,-531.1999999999998,3727.7,Switzerland
12455,103,2,1698.9,1523,42,104,849.45,761.5,0.44776119402985076,0.0,0.0,1698.9,-1698.9,767.96,Cyprus
12456,62,1,940.1700000000001,445,41,62,940.1700000000001,445.0,0.32608695652173914,940.1700000000001,0.0,0.0,940.1700000000001,2240.87,Switzerland
12457,41,3,1067.25,397,23,47,355.75,132.33333333333334,1.168831168831169,1067.25,0.0,0.0,1067.25,1295.98,Switzerland
12458,92,1,441.92,270,19,92,441.92,270.0,0.24590163934426232,0.0,0.0,441.92,-441.92,505.48,Switzerland
12462,111,1,762.11,287,40,111,762.11,287.0,0.2127659574468085,0.0,0.0,762.11,-762.11,427.48,Spain
12463,14,2,647.95,357,32,49,323.975,178.5,0.759493670886076,647.95,297.38,0.0,647.95,696.83,Belgium
12464,8,4,544.85,54,6,117,136.2125,13.5,0.8163265306122448,181.0,181.0,363.85,-182.85000000000002,667.2,Belgium
12468,124,1,220.59,127,12,124,220.59,127.0,0.1948051948051948,0.0,0.0,220.59,-220.59,508.95000000000005,Germany
12471,18,13,8397.32,3049,82,172,645.9476923076923,234.53846153846155,1.9306930693069306,2433.81,881.1999999999999,5963.51,-3529.7000000000003,11426.73,Germany
12472,75,3,3048.84,1825,116,177,1016.2800000000001,608.3333333333334,0.43478260869565216,592.1800000000001,0.0,2456.66,-1864.4799999999998,3523.27,Germany
12474,8,8,2719.13,1662,117,137,339.89125,207.75,1.437125748502994,1831.75,768.08,887.38,944.37,4656.66,Germany
12476,26,5,2445.1,828,71,169,489.02,165.6,0.7537688442211055,1722.87,311.2,722.23,1000.6399999999999,4371.32,Germany
